dataset,size,quality,algorithm,signal,seed,mi_value
PBMC,1000,0.0012346,Geneformer,protein_counts,42,0.76037
PBMC,1000,0.0012346,Geneformer,protein_counts,2303,0.79263
PBMC,1000,0.0012346,Geneformer,protein_counts,2701,0.76369
PBMC,1000,0.0012346,PCA,protein_counts,42,0.36064
PBMC,1000,0.0012346,PCA,protein_counts,2303,0.37588
PBMC,1000,0.0012346,PCA,protein_counts,2701,0.36434
PBMC,1000,0.0012346,RandomProjection,protein_counts,42,0.25169
PBMC,1000,0.0012346,RandomProjection,protein_counts,2303,0.24459
PBMC,1000,0.0012346,RandomProjection,protein_counts,2701,0.25169
PBMC,1000,0.0012346,SCVI,protein_counts,42,0.27385
PBMC,1000,0.0012346,SCVI,protein_counts,2303,0.39628
PBMC,1000,0.0012346,SCVI,protein_counts,2701,0.37406
PBMC,1000,0.0025982,Geneformer,protein_counts,42,1.24684
PBMC,1000,0.0025982,Geneformer,protein_counts,2303,1.15643
PBMC,1000,0.0025982,Geneformer,protein_counts,2701,1.16022
PBMC,1000,0.0025982,PCA,protein_counts,42,0.59182
PBMC,1000,0.0025982,PCA,protein_counts,2303,0.56292
PBMC,1000,0.0025982,PCA,protein_counts,2701,0.59692
PBMC,1000,0.0025982,RandomProjection,protein_counts,42,0.2752
PBMC,1000,0.0025982,RandomProjection,protein_counts,2303,0.28246
PBMC,1000,0.0025982,RandomProjection,protein_counts,2701,0.2752
PBMC,1000,0.0025982,SCVI,protein_counts,42,0.73073
PBMC,1000,0.0025982,SCVI,protein_counts,2303,0.68891
PBMC,1000,0.0025982,SCVI,protein_counts,2701,0.71362
PBMC,1000,0.0054682,Geneformer,protein_counts,42,1.55189
PBMC,1000,0.0054682,Geneformer,protein_counts,2303,1.55412
PBMC,1000,0.0054682,Geneformer,protein_counts,2701,1.59259
PBMC,1000,0.0054682,PCA,protein_counts,42,0.90493
PBMC,1000,0.0054682,PCA,protein_counts,2303,0.91586
PBMC,1000,0.0054682,PCA,protein_counts,2701,0.88877
PBMC,1000,0.0054682,RandomProjection,protein_counts,42,0.41653
PBMC,1000,0.0054682,RandomProjection,protein_counts,2303,0.38736
PBMC,1000,0.0054682,RandomProjection,protein_counts,2701,0.41653
PBMC,1000,0.0054682,SCVI,protein_counts,42,1.24032
PBMC,1000,0.0054682,SCVI,protein_counts,2303,1.15943
PBMC,1000,0.0054682,SCVI,protein_counts,2701,1.18956
PBMC,1000,0.0115083,Geneformer,protein_counts,42,1.97629
PBMC,1000,0.0115083,Geneformer,protein_counts,2303,1.96632
PBMC,1000,0.0115083,Geneformer,protein_counts,2701,1.94319
PBMC,1000,0.0115083,PCA,protein_counts,42,1.34258
PBMC,1000,0.0115083,PCA,protein_counts,2303,1.269
PBMC,1000,0.0115083,PCA,protein_counts,2701,1.34263
PBMC,1000,0.0115083,RandomProjection,protein_counts,42,0.6329
PBMC,1000,0.0115083,RandomProjection,protein_counts,2303,0.65149
PBMC,1000,0.0115083,RandomProjection,protein_counts,2701,0.6329
PBMC,1000,0.0115083,SCVI,protein_counts,42,1.7418
