dataset,algo,signal,seed,size,quality,quality_str,step,mi
shendure,Geneformer,author_day,42,16681,0.0073875,0.0073875,10000,0.3644
shendure,Geneformer,author_day,42,16681,0.0073875,0.0073875,11000,0.37548
shendure,Geneformer,author_day,42,16681,0.0073875,0.0073875,12000,0.39825
shendure,Geneformer,author_day,42,16681,0.0073875,0.0073875,13000,0.35265
shendure,Geneformer,author_day,42,16681,0.0136438,0.0136438,1000,0.38204
shendure,Geneformer,author_day,42,16681,0.0136438,0.0136438,2000,0.40231
shendure,Geneformer,author_day,42,16681,0.0136438,0.0136438,3000,0.44358
shendure,Geneformer,author_day,42,16681,0.0136438,0.0136438,4000,0.44288
shendure,Geneformer,author_day,42,16681,0.0136438,0.0136438,5000,0.46628
shendure,Geneformer,author_day,42,16681,0.0136438,0.0136438,6000,0.47216
shendure,Geneformer,author_day,42,16681,0.0136438,0.0136438,7000,0.4698
shendure,Geneformer,author_day,42,16681,0.0136438,0.0136438,8000,0.4835
shendure,Geneformer,author_day,42,16681,0.0136438,0.0136438,9000,0.49943
shendure,Geneformer,author_day,42,16681,0.0136438,0.0136438,10000,0.59699
shendure,Geneformer,author_day,42,16681,0.0136438,0.0136438,11000,0.62464
shendure,Geneformer,author_day,42,16681,0.0136438,0.0136438,12000,0.63264
shendure,Geneformer,author_day,42,16681,0.0136438,0.0136438,13000,0.62203
shendure,Geneformer,author_day,42,16681,0.0136438,0.0136438,14000,0.62993
shendure,Geneformer,author_day,42,16681,0.0251984,0.0251984,1000,0.51193
shendure,Geneformer,author_day,42,16681,0.0251984,0.0251984,2000,0.51278
shendure,Geneformer,author_day,42,16681,0.0251984,0.0251984,3000,0.55549
shendure,Geneformer,author_day,42,16681,0.0251984,0.0251984,4000,0.51761
shendure,Geneformer,author_day,42,16681,0.0251984,0.0251984,5000,0.55152
shendure,Geneformer,author_day,42,16681,0.0251984,0.0251984,6000,0.60545
shendure,Geneformer,author_day,42,16681,0.0251984,0.0251984,7000,0.69272
shendure,Geneformer,author_day,42,16681,0.0251984,0.0251984,8000,0.76221
shendure,Geneformer,author_day,42,16681,0.0251984,0.0251984,9000,0.78816
shendure,Geneformer,author_day,42,16681,0.0251984,0.0251984,10000,0.7885
shendure,Geneformer,author_day,42,16681,0.0251984,0.0251984,11000,0.76911
shendure,Geneformer,author_day,42,16681,0.0251984,0.0251984,12000,0.81444
shendure,Geneformer,author_day,42,16681,0.0251984,0.0251984,13000,0.83735
shendure,Geneformer,author_day,42,16681,0.0251984,0.0251984,14000,0.81921
shendure,Geneformer,author_day,42,16681,0.0251984,0.0251984,15000,0.87137
shendure,Geneformer,author_day,42,16681,0.0251984,0.0251984,16000,0.85927
shendure,Geneformer,author_day,42,16681,0.0251984,0.0251984,17000,0.87329
shendure,Geneformer,author_day,42,16681,0.0251984,0.0251984,18000,0.86054
shendure,Geneformer,author_day,42,16681,0.0251984,0.0251984,19000,0.90004
shendure,Geneformer,author_day,42,16681,0.0465384,0.0465384,1000,0.61087
shendure,Geneformer,author_day,42,16681,0.0465384,0.0465384,2000,0.70174
shendure,Geneformer,author_day,42,16681,0.0465384,0.0465384,3000,0.75866
shendure,Geneformer,author_day,42,16681,0.0465384,0.0465384,4000,0.64735
shendure,Geneformer,author_day,42,16681,0.0859506,0.0859506,1000,0.64343
shendure,Geneformer,author_day,42,16681,0.0859506,0.0859506,2000,0.81752
shendure,Geneformer,author_day,42,16681,0.1587401,0.1587401,1000,0.82424
shendure,Geneformer,author_day,42,16681,0.1587401,0.1587401,2000,0.97185
shendure,Geneformer,author_day,42,16681,0.1587401,0.1587401,3000,1.00994
shendure,Geneformer,author_day,42,16681,0.1587401,0.1587401,4000,1.04847
shendure,Geneformer,author_day,42,16681,0.1587401,0.1587401,5000,1.10272
shendure,Geneformer,author_day,42,16681,0.1587401,0.1587401,6000,1.20003
shendure,Geneformer,author_day,42,16681,0.1587401,0.1587401,7000,1.24305
shendure,Geneformer,author_day,42,16681,0.1587401,0.1587401,8000,1.25686
shendure,Geneformer,author_day,42,16681,0.1587401,0.1587401,9000,1.3375
shendure,Geneformer,author_day,42,16681,0.1587401,0.1587401,10000,1.38537
shendure,Geneformer,author_day,42,16681,0.1587401,0.1587401,11000,1.37583
